SPRINT 2 - RATIO EDGE CASE LOG
======================================================================
BAJFINANCE | 2021 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=6.4449, difference=5.4551
BAJFINANCE | 2021 | VERSION_DIFFERENCE | ROE source=22.1000, calculated=11.9725, difference=10.1275
BAJFINANCE | 2022 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=5.7005, difference=6.1995
BAJFINANCE | 2022 | VERSION_DIFFERENCE | ROE source=22.1000, calculated=16.0776, difference=6.0224
BAJFINANCE | 2023 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=4.6971, difference=7.2029
BAJFINANCE | 2024 | VERSION_DIFFERENCE | ROCE source=11.9000, calculated=3.9256, difference=7.9744
BAJFINANCE | 2024 | VERSION_DIFFERENCE | ROE source=22.1000, calculated=16.6480, difference=5.4520
BANKBARODA | 2015 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=9.4007, difference=7.2993
BANKBARODA | 2016 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=-11.8415, difference=28.5415
BANKBARODA | 2017 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=4.3072, difference=12.3928
BANKBARODA | 2018 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=-3.9428, difference=20.6428
BANKBARODA | 2019 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=2.1202, difference=14.5798
BANKBARODA | 2020 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=1.2890, difference=15.4110
BANKBARODA | 2021 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=1.9663, difference=14.7337
BANKBARODA | 2022 | VERSION_DIFFERENCE | ROE source=16.7000, calculated=8.6351, difference=8.0649
BEL | 2013 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=4303.3333, difference=4268.7333
BEL | 2013 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=15183.3333, difference=15157.0333
BEL | 2014 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=4867.8571, difference=4833.2571
BEL | 2014 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=13600.0000, difference=13573.7000
BEL | 2015 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=5109.0909, difference=5074.4909
BEL | 2015 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=17100.0000, difference=17073.7000
BEL | 2016 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=5313.5135, difference=5278.9135
BEL | 2016 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=11141.6667, difference=11115.3667
BEL | 2017 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=5027.2727, difference=4992.6727
BEL | 2017 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=10153.3333, difference=10127.0333
BEL | 2018 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=2829.1139, difference=2794.5139
BEL | 2018 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=4616.1290, difference=4589.8290
BEL | 2019 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=3106.2500, difference=3071.6500
BEL | 2019 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=3851.0204, difference=3824.7204
BEL | 2020 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=2886.8687, difference=2852.2687
BEL | 2020 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=3318.1818, difference=3291.8818
BEL | 2021 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=3091.6667, difference=3057.0667
BEL | 2021 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=3559.3220, difference=3533.0220
BEL | 2022 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=2815.7480, difference=2781.1480
BEL | 2022 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=3478.2609, difference=3451.9609
BEL | 2023 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=3834.2105, difference=3799.6105
BEL | 2023 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=3981.3333, difference=3955.0333
BEL | 2024 | VERSION_DIFFERENCE | ROCE source=34.6000, calculated=3385.2071, difference=3350.6071
BEL | 2024 | VERSION_DIFFERENCE | ROE source=26.3000, calculated=4379.1209, difference=4352.8209
BHARTIARTL | 2013 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=20.6043, difference=7.5043
BHARTIARTL | 2013 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=4.5050, difference=10.3950
BHARTIARTL | 2014 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=21.6679, difference=8.5679
BHARTIARTL | 2014 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=5.0522, difference=9.8478
BHARTIARTL | 2015 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=28.2851, difference=15.1851
BHARTIARTL | 2016 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=23.2009, difference=10.1009
BHARTIARTL | 2017 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=21.1983, difference=8.0983
BHARTIARTL | 2017 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=6.2870, difference=8.6130
BHARTIARTL | 2018 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=3.1409, difference=11.7591
BHARTIARTL | 2019 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=2.3634, difference=12.5366
BHARTIARTL | 2020 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=-0.5169, difference=13.6169
BHARTIARTL | 2020 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=-39.7485, difference=54.6485
BHARTIARTL | 2021 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=18.5192, difference=5.4192
BHARTIARTL | 2021 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=-20.9726, difference=35.8726
BHARTIARTL | 2022 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=26.3258, difference=13.2258
BHARTIARTL | 2023 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=23.8133, difference=10.7133
BHARTIARTL | 2024 | VERSION_DIFFERENCE | ROCE source=13.1000, calculated=23.9458, difference=10.8458
BHARTIARTL | 2024 | VERSION_DIFFERENCE | ROE source=14.9000, calculated=9.8257, difference=5.0743
BHEL | 2013 | VERSION_DIFFERENCE | ROCE source=3.2800, calculated=31.9277, difference=28.6477
BHEL | 2013 | VERSION_DIFFERENCE | ROE source=1.0500, calculated=21.9091, difference=20.8591
BHEL | 2014 | VERSION_DIFFERENCE | ROCE source=3.2800, calculated=16.3638, difference=13.0838
BHEL | 2014 | VERSION_DIFFERENCE | ROE source=1.0500, calculated=10.5574, difference=9.5074
BHEL | 2015 | VERSION_DIFFERENCE | ROCE source=3.2800, calculated=9.3141, difference=6.0341
BHEL | 2020 | VERSION_DIFFERENCE | ROE source=1.0500, calculated=-5.1221, difference=6.1721
BHEL | 2021 | VERSION_DIFFERENCE | ROCE source=3.2800, calculated=-8.5860, difference=11.8660
BHEL | 2021 | VERSION_DIFFERENCE | ROE source=1.0500, calculated=-10.3914, difference=11.4414
BOSCHLTD | 2012 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=29.6226, difference=9.0226
BOSCHLTD | 2015 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=33.7624, difference=13.1624
BOSCHLTD | 2016 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=26.0929, difference=5.4929
BOSCHLTD | 2017 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=32.6742, difference=12.0742
BOSCHLTD | 2019 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=30.1742, difference=9.5742
BOSCHLTD | 2020 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=14.7474, difference=5.8526
BOSCHLTD | 2020 | VERSION_DIFFERENCE | ROE source=16.0000, calculated=7.0119, difference=8.9881
BOSCHLTD | 2021 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=9.3348, difference=11.2652
BOSCHLTD | 2021 | VERSION_DIFFERENCE | ROE source=16.0000, calculated=4.9069, difference=11.0931
BOSCHLTD | 2024 | VERSION_DIFFERENCE | ROCE source=20.6000, calculated=28.6710, difference=8.0710
BPCL | 2013 | VERSION_DIFFERENCE | ROCE source=32.1000, calculated=16.4243, difference=15.6757
BPCL | 2013 | VERSION_DIFFERENCE | ROE source=41.9000, calculated=11.5410, difference=30.3590
BPCL | 2014 | VERSION_DIFFERENCE | ROCE source=32.1000, calculated=20.4556, difference=11.6444
